,Доходность и загрузка,,,,,,,,,,,,
28.08.2024,,"574 200,00",40,,110,39,"14 355,00","11 042,31","1,03",52,0,52,"76,92 %"
29.08.2024,,"561 140,00",41,,110,38,"13 686,34","10 791,15","1,18",52,0,52,"78,85 %"
30.08.2024,,"786 680,00",52,,142,46,"15 128,46","15 128,46","1,15",52,0,52,"100,00 %"
31.08.2024,,"752 982,50",51,,118,43,"14 764,36","14 480,43","1,00",52,0,52,"98,08 %"
сентября 2024,,"8 986 940,00",663,,1423,559,"13 554,96","5 824,33","1,18",1560,17,1543,"42,97 %"
01.09.2024,,"165 750,00",14,,31,12,"11 839,29","3 250,00","1,08",52,1,51,"27,45 %"
02.09.2024,,"97 500,00",8,,16,7,"12 187,50","1 875,00","1,29",52,0,52,"15,38 %"
03.09.2024,,"226 500,00",18,,40,16,"12 583,33","4 355,77","1,38",52,0,52,"34,62 %"
04.09.2024,,"132 400,00",11,,14,6,"12 036,36","2 702,04","1,50",52,3,49,"22,45 %"
05.09.2024,,"187 200,00",15,,31,12,"12 480,00","3 600,00","1,17",52,0,52,"28,85 %"
06.09.2024,,"280 400,00",19,,38,16,"14 757,89","5 498,04","1,44",52,1,51,"37,25 %"
07.09.2024,,"809 300,00",53,,138,46,"15 269,81","15 563,46","1,02",52,0,52,"101,92 %"
08.09.2024,,"220 100,00",18,,43,17,"12 227,78","4 232,69","1,12",52,0,52,"34,62 %"
09.09.2024,,"228 500,00",18,,35,16,"12 694,44","4 394,23","1,19",52,0,52,"34,62 %"
10.09.2024,,"288 200,00",24,,54,20,"12 008,33","5 542,31","1,45",52,0,52,"46,15 %"
11.09.2024,,"300 520,00",24,,38,18,"12 521,67","5 779,23","1,33",52,0,52,"46,15 %"
12.09.2024,,"301 520,00",25,,42,19,"12 060,80","5 798,46","1,05",52,0,52,"48,08 %"
13.09.2024,,"393 700,00",29,,70,26,"13 575,86","7 571,15","1,23",52,0,52,"55,77 %"
14.09.2024,,"757 140,00",52,,124,45,"14 560,38","14 560,38","1,00",52,0,52,"100,00 %"
15.09.2024,,"274 000,00",20,,42,20,"13 700,00","5 372,55","1,05",52,1,51,"39,22 %"
16.09.2024,,"155 800,00",12,,24,11,"12 983,33","2 996,15","1,09",52,0,52,"23,08 %"
17.09.2024,,"280 600,00",22,,51,20,"12 754,55","5 396,15","1,20",52,0,52,"42,31 %"
18.09.2024,,"175 400,00",15,,28,12,"11 693,33","3 439,22","1,42",52,1,51,"29,41 %"
19.09.2024,,"281 810,00",23,,50,19,"12 252,61","5 525,69","1,26",52,1,51,"45,10 %"
20.09.2024,,"510 800,00",33,,74,27,"15 478,79","9 823,08","1,26",52,0,52,"63,46 %"
21.09.2024,,"798 160,00",51,,109,43,"15 650,20","15 349,23","1,05",52,0,52,"98,08 %"
22.09.2024,,"157 400,00",13,,28,12,"12 107,69","3 026,92","1,17",52,0,52,"25,00 %"
23.09.2024,,"124 100,00",11,,17,8,"11 281,82","2 532,65","1,38",52,3,49,"22,45 %"
24.09.2024,,"97 800,00",8,,12,5,"12 225,00","2 037,50","1,00",52,4,48,"16,67 %"
25.09.2024,,"154 800,00",13,,34,13,"11 907,69","3 035,29","1,85",52,1,51,"25,49 %"
26.09.2024,,"177 900,00",16,,19,9,"11 118,75","3 421,15","1,00",52,0,52,"30,77 %"
27.09.2024,,"375 900,00",25,,62,22,"15 036,00","7 228,85","1,27",52,0,52,"48,08 %"
28.09.2024,,"794 400,00",52,,118,45,"15 276,92","15 276,92","1,04",52,0,52,"100,00 %"
29.09.2024,,"146 000,00",13,,24,10,"11 230,77","2 807,69","1,10",52,0,52,"25,00 %"
30.09.2024,,"93 340,00",8,,17,7,"11 667,50","1 830,20","1,00",52,1,51,"15,69 %"
октября 2024,,"7 652 320,00",615,,1313,510,"12 442,80","4 827,96","1,20",1612,27,1585,"38,80 %"
01.10.2024,,"61 400,00",5,,16,5,"12 280,00","1 228,00","1,00",52,2,50,"10,00 %"
02.10.2024,,"124 700,00",11,,25,11,"11 336,36","2 494,00","1,09",52,2,50,"22,00 %"
03.10.2024,,"78 100,00",7,,14,6,"11 157,14","1 562,00","1,17",52,2,50,"14,00 %"
04.10.2024,,"302 450,00",21,,52,20,"14 402,38","5 930,39","1,55",52,1,51,"41,18 %"
05.10.2024,,"743 430,00",50,,112,42,"14 868,60","14 577,06","1,00",52,1,51,"98,04 %"
06.10.2024,,"244 100,00",21,,42,18,"11 623,81","4 786,27","1,17",52,1,51,"41,18 %"
07.10.2024,,"138 400,00",14,,21,9,"9 885,71","2 713,73","1,67",52,1,51,"27,45 %"
08.10.2024,,"174 500,00",16,,30,12,"10 906,25","3 355,77","1,33",52,0,52,"30,77 %"
09.10.2024,,"142 550,00",13,,18,8,"10 965,38","2 741,35","1,38",52,0,52,"25,00 %"
10.10.2024,,"167 620,00",16,,28,11,"10 476,25","3 223,46","1,18",52,0,52,"30,77 %"
11.10.2024,,"395 830,00",28,,70,26,"14 136,79","7 612,12","1,12",52,0,52,"53,85 %"
12.10.2024,,"710 250,00",48,,116,45,"14 796,88","14 205,00","1,02",52,2,50,"96,00 %"
13.10.2024,,"252 400,00",22,,42,20,"11 472,73","4 949,02","1,00",52,1,51,"43,14 %"
14.10.2024,,"63 900,00",7,,13,6,"9 128,57","1 228,85","1,50",52,0,52,"13,46 %"
15.10.2024,,"62 700,00",5,,5,3,"12 540,00","1 205,77","1,00",52,0,52,"9,62 %"
16.10.2024,,"144 720,00",12,,26,11,"12 060,00","2 953,47","1,09",52,3,49,"24,49 %"
17.10.2024,,"126 400,00",13,,29,11,"9 723,08","2 528,00","1,36",52,2,50,"26,00 %"
18.10.2024,,"128 800,00",11,,17,8,"11 709,09","2 476,92","1,00",52,0,52,"21,15 %"
19.10.2024,,"647 300,00",45,,106,44,"14 384,44","12 448,08","1,05",52,0,52,"86,54 %"
20.10.2024,,"247 600,00",21,,47,19,"11 790,48","4 854,90","1,37",52,1,51,"41,18 %"
21.10.2024,,"107 800,00",10,,14,6,"10 780,00","2 156,00","2,83",52,2,50,"20,00 %"
22.10.2024,,"290 350,00",25,,40,16,"11 614,00","5 693,14","1,13",52,1,51,"49,02 %"
23.10.2024,,"202 800,00",18,,43,14,"11 266,67","3 900,00","1,64",52,0,52,"34,62 %"
24.10.2024,,"236 900,00",22,,36,13,"10 768,18","4 645,10","1,15",52,1,51,"43,14 %"
25.10.2024,,"361 950,00",25,,54,19,"14 478,00","7 097,06","1,00",52,1,51,"49,02 %"
26.10.2024,,"740 920,00",50,,150,50,"14 818,40","14 818,40","1,06",52,2,50,"100,00 %"
27.10.2024,,"221 250,00",20,,48,18,"11 062,50","4 254,81","1,28",52,0,52,"38,46 %"
28.10.2024,,"142 250,00",14,,27,10,"10 160,71","2 735,58","1,40",52,0,52,"26,92 %"
29.10.2024,,"71 700,00",10,,18,8,"7 170,00","1 378,85","1,75",52,0,52,"19,23 %"
30.10.2024,,"165 850,00",20,,31,12,"8 292,50","3 189,42","1,42",52,0,52,"38,46 %"
31.10.2024,,"153 400,00",15,,23,9,"10 226,67","3 007,84","1,33",52,1,51,"29,41 %"
ноября 2024,,"6 243 199,80",529,,1149,449,"11 801,89","4 371,99","1,16",1560,132,1428,"37,04 %"
01.11.2024,,"157 850,00",13,,21,9,"12 142,31","3 095,10","1,00",52,1,51,"25,49 %"
02.11.2024,,"575 190,00",41,,105,41,"14 029,02","11 061,35","1,27",52,0,52,"78,85 %"
03.11.2024,,"631 940,00",51,,99,40,"12 390,98","12 152,69","1,13",52,0,52,"98,08 %"
04.11.2024,,"237 600,00",28,,62,23,"8 485,71","4 569,23","1,39",52,0,52,"53,85 %"
05.11.2024,,"270 700,00",31,,64,21,"8 732,26","5 307,84","1,19",52,1,51,"60,78 %"
06.11.2024,,"79 550,00",9,,12,5,"8 838,89","1 529,81","1,20",52,0,52,"17,31 %"
07.11.2024,,"29 750,00",3,,5,2,"9 916,67","572,12","1,00",52,0,52,"5,77 %"
08.11.2024,,"164 000,00",10,,24,10,"16 400,00","3 153,85","1,70",52,0,52,"19,23 %"
09.11.2024,,"768 100,00",50,,130,43,"15 362,00","15 060,78","1,00",52,1,51,"98,04 %"
10.11.2024,,"118 822,50",13,,37,13,"9 140,19","2 285,05","1,23",52,0,52,"25,00 %"
11.11.2024,,"84 142,00",12,,19,8,"7 011,83","1 682,84","1,63",52,2,50,"24,00 %"
12.11.2024,,"60 620,00",8,,9,4,"7 577,50","1 289,79","1,50",52,5,47,"17,02 %"
13.11.2024,,"81 020,00",10,,12,6,"8 102,00","1 653,47","1,33",52,3,49,"20,41 %"
14.11.2024,,"65 111,00",7,,14,5,"9 301,57","1 276,69","1,20",52,1,51,"13,73 %"
15.11.2024,,"131 922,00",12,,30,11,"10 993,50","2 536,96","1,09",52,0,52,"23,08 %"
16.11.2024,,"522 700,00",35,,88,34,"14 934,29","11 121,28","1,12",52,5,47,"74,47 %"
17.11.2024,,"279 905,00",27,,57,22,"10 366,85","5 598,10","1,09",52,2,50,"54,00 %"
18.11.2024,,"70 433,00",8,,16,6,"8 804,13","1 408,66","1,00",52,2,50,"16,00 %"
19.11.2024,,"49 351,00",5,,14,5,"9 870,20","1 147,70","1,00",52,9,43,"11,63 %"
20.11.2024,,"89 411,00",8,,19,8,"11 176,38","2 180,76","1,13",52,11,41,"19,51 %"
21.11.2024,,"109 133,00",12,,23,11,"9 094,42","2 728,33","1,09",52,12,40,"30,00 %"
22.11.2024,,"178 744,00",14,,35,13,"12 767,43","4 156,84","1,31",52,9,43,"32,56 %"
23.11.2024,,"470 700,00",32,,68,28,"14 709,38","10 460,00","1,00",52,7,45,"71,11 %"
24.11.2024,,"109 400,00",11,,29,10,"9 945,45","2 486,36","1,00",52,8,44,"25,00 %"
25.11.2024,,"52 000,00",5,,9,5,"10 400,00","1 238,10","1,40",52,10,42,"11,90 %"
26.11.2024,,"104 400,00",10,,16,9,"10 440,00","2 372,73","1,22",52,8,44,"22,73 %"
27.11.2024,,"90 200,00",9,,16,7,"10 022,22","2 004,44","1,14",52,7,45,"20,00 %"
28.11.2024,,"88 100,00",9,,17,7,"9 788,89","2 048,84","1,29",52,9,43,"20,93 %"
29.11.2024,,"174 222,00",17,,34,15,"10 248,35","4 051,67","1,07",52,9,43,"39,53 %"
30.11.2024,,"398 183,30",29,,65,28,"13 730,46","9 480,55","1,04",52,10,42,"69,05 %"
декабря 2024,,"6 836 438,85",365,,787,299,"18 729,97","5 101,82","1,33",1657,317,1340,"27,24 %"
01.12.2024,,"92 687,20",8,,19,7,"11 585,90","2 206,84","1,29",52,10,42,"19,05 %"
02.12.2024,,"44 420,00",4,,6,2,"11 105,00","1 083,41","1,00",52,11,41,"9,76 %"
03.12.2024,,"28 000,00",2,,4,2,"14 000,00","636,36","1,00",52,8,44,"4,55 %"
04.12.2024,,"38 900,00",4,,10,4,"9 725,00","904,65","1,00",52,9,43,"9,30 %"
05.12.2024,,"68 500,00",6,,12,6,"11 416,67","1 593,02","1,00",52,9,43,"13,95 %"
06.12.2024,,"62 600,00",5,,10,5,"12 520,00","1 455,81","1,60",52,9,43,"11,63 %"
07.12.2024,,"348 987,50",27,,58,24,"12 925,46","8 115,99","1,00",52,9,43,"62,79 %"
08.12.2024,,"61 200,00",5,,12,5,"12 240,00","1 360,00","1,00",52,7,45,"11,11 %"
09.12.2024,,"49 200,00",4,,8,4,"12 300,00","1 447,06","1,00",52,18,34,"11,76 %"
10.12.2024,,"100 150,00",8,,18,7,"12 518,75","2 384,52","1,00",52,10,42,"19,05 %"
11.12.2024,,"46 200,00",5,,8,4,"9 240,00","1 248,65","1,50",52,15,37,"13,51 %"
12.12.2024,,"101 800,00",9,,14,7,"11 311,11","2 545,00","1,00",52,12,40,"22,50 %"
13.12.2024,,"111 700,00",9,,18,9,"12 411,11","2 597,67","1,33",52,9,43,"20,93 %"
14.12.2024,,"327 298,50",23,,56,20,"14 230,37","7 792,82","1,00",52,10,42,"54,76 %"
15.12.2024,,"79 800,00",8,,22,8,"9 975,00","1 855,81","1,00",52,9,43,"18,60 %"
16.12.2024,,"22 300,00",2,,5,2,"11 150,00","506,82","0,50",52,8,44,"4,55 %"
17.12.2024,,"33 300,00",4,,11,4,"8 325,00","792,86","1,00",55,13,42,"9,52 %"
18.12.2024,,"0,00",0,,0,0,"0,00","0,00","0,00",55,16,39,"0,00 %"
19.12.2024,,"60 900,00",5,,10,5,"12 180,00","1 416,28","1,00",55,12,43,"11,63 %"
20.12.2024,,"202 300,00",14,,46,14,"14 450,00","5 187,18","1,07",55,16,39,"35,90 %"
21.12.2024,,"464 400,00",35,,89,34,"13 268,57","10 554,55","1,03",55,11,44,"79,55 %"
22.12.2024,,"104 200,00",12,,22,10,"8 683,33","2 265,22","1,10",55,9,46,"26,09 %"
23.12.2024,,"69 200,00",6,,13,4,"11 533,33","1 504,35","1,00",55,9,46,"13,04 %"
24.12.2024,,"118 200,00",13,,32,13,"9 092,31","2 686,36","1,08",55,11,44,"29,55 %"
25.12.2024,,"73 400,00",7,,19,6,"10 485,71","1 631,11","1,67",55,10,45,"15,56 %"
26.12.2024,,"74 700,00",6,,16,5,"12 450,00","1 660,00","1,20",55,10,45,"13,33 %"
27.12.2024,,"90 100,00",6,,18,4,"15 016,67","2 002,22","1,00",55,10,45,"13,33 %"
28.12.2024,,"210 100,00",15,,39,14,"14 006,67","4 567,39","1,07",55,9,46,"32,61 %"
29.12.2024,,"313 600,00",29,,66,26,"10 813,79","6 672,34","1,00",55,8,47,"61,70 %"
30.12.2024,,"1 590 294,40",40,,113,40,"39 757,36","31 805,89","2,98",55,5,50,"80,00 %"
31.12.2024,,"1 848 001,25",44,,13,4,"42 000,03","36 960,03","1,25",55,5,50,"88,00 %"
Итого за период,,"117 969 593,65",9129,,19070,7182,"12 922,51","6 548,77","1,25",19161,1147,18014,"50,68 %"
